Disease Mesh ID	Name	isCommon
MESH:C536015	Achondrogenesis type 1A	True
MESH:C536016	Achondrogenesis type 1B	True
MESH:C536017	Achondrogenesis type 2	True
MESH:C536018	Achondrogenesis, type 3	True
MESH:C536019	Achondrogenesis, type 4	True
MESH:D000130	Achondroplasia	True
MESH:C536020	Achondroplasia and Swiss type agammaglobulinemia	True
MESH:C531599	Achondroplastic dwarfism	True
MESH:C536021	Achromatopsia 1	True
MESH:C536128	Achromatopsia 2	True
MESH:C536129	Achromatopsia 3	True
MESH:C564206	Achromatopsia 4	True
MESH:C567759	Achromatopsia 5	True
MESH:C538165	Achromatopsia incomplete, X-linked	True
MESH:D000137	Acid-Base Imbalance	True
MESH:C538167	Acidemia, isovaleric	True
MESH:D000138	Acidosis	True
MESH:D000140	Acidosis, Lactic	True
MESH:D000141	Acidosis, Renal Tubular	True
MESH:D000142	Acidosis, Respiratory	True
MESH:C562645	Acid Phosphatase Deficiency	True
MESH:D000151	Acinetobacter Infections	True
MESH:C538169	Acitretin embryopathy	True
MESH:C538170	Ackerman syndrome	True
MESH:C565791	Acne, Adult	True
MESH:D000069316	Acne Conglobata	True
MESH:D017486	Acneiform Eruptions	True
MESH:D000153	Acne Keloid	True
MESH:D000152	Acne Vulgaris	True
MESH:C538171	Acquired agranulocytosis	True
MESH:C538172	Acquired amegakaryocytic thrombocytopenia	True
MESH:C538173	Acquired angioedema	True
MESH:C538481	Acquired CJD	True
MESH:D020083	Acquired Hyperostosis Syndrome	True
MESH:C538174	Acquired hypoprothrombinemia	True
MESH:C538175	Acquired ichthyosis	True
MESH:D000163	Acquired Immunodeficiency Syndrome	True
MESH:C567077	Acquired Protein S Deficiency	True
MESH:C538176	Acquired pure megakaryocytic aplasia	True
MESH:D055673	Acrocallosal Syndrome	True
MESH:C538177	Acrocallosal syndrome, Schinzel type	True
MESH:C564334	Acrocapitofemoral Dysplasia	True
MESH:C573722	Acrocephalopolydactylous Dysplasia	True
MESH:C563187	Acrocephalopolysyndactyly Type II	True
MESH:D000168	Acrocephalosyndactylia	True
MESH:D000169	Acrodermatitis	True
MESH:C538178	Acrodermatitis enteropathica	True
MESH:D000170	Acrodynia	True
MESH:C538179	Acrodysostosis	True
MESH:C538180	Acrodysplasia scoliosis	True
MESH:C538181	Acrodysplasia with ossification abnormalities, short stature, and fibular hypoplasia	True
MESH:C538182	Acrofacial dysostosis Catania form	True
MESH:C538184	Acrofacial dysostosis, Nager type	True
MESH:C538185	Acrofacial dysostosis, Palagonia type	True
MESH:C538183	Acrofacial dysostosis Rodriguez type	True
MESH:C538186	Acrofrontofacionasal dysostosis syndrome	True
MESH:C538187	Acrogeria, gottron type	True
MESH:C566323	Acrokeratoderma, Hereditary Papulotranslucent	True
MESH:C535653	Acrokeratoelastoidosis of Costa	True
MESH:C566322	Acroleukopathy, Symmetric	True
MESH:C535655	Acromegaloid facial appearance syndrome	True
MESH:C535656	Acromegaloid features, overgrowth, cleft palate, and hernia	True
MESH:D000172	Acromegaly	True
MESH:C566345	Acromelic Frontonasal Dysostosis	True
MESH:C535657	Acromelic frontonasal dysplasia	True
MESH:C535658	Acromesomelic dysplasia	True
MESH:C535659	Acromesomelic dysplasia Campailla-Martinelli type	True
MESH:C535661	Acromesomelic dysplasia, Maroteaux type	True
MESH:C535662	Acromicric dysplasia	True
MESH:D030981	Acro-Osteolysis	True
MESH:C535663	Acroosteolysis dominant type	True
MESH:C564866	Acrootoocular Syndrome	True
MESH:C535664	Acropectoral syndrome	True
MESH:C566319	Acropectorovertebral Dysplasia, F-Form	True
MESH:C535665	Acrorenal mandibular syndrome	True
MESH:C563159	Acrorenal Syndrome	True
MESH:C535666	Acrorenal syndrome recessive	True
MESH:D018250	Acrospiroma	True
MESH:C562707	ACTH Deficiency, Isolated	True
MESH:C565662	Acth-Independent Macronodular Adrenal Hyperplasia	True
MESH:D049913	ACTH-Secreting Pituitary Adenoma	True
MESH:D000182	ACTH Syndrome, Ectopic	True
MESH:C579880	Actin-Accumulation Myopathy	True
MESH:C535669	Actinic cheilitis	True
MESH:C566780	Actinic Prurigo	True
MESH:D000187	Actinobacillosis	True
MESH:D000189	Actinobacillus Infections	True
MESH:D000193	Actinomycetales Infections	True
MESH:D000196	Actinomycosis	True
MESH:D000197	Actinomycosis, Cervicofacial	True
MESH:C585640	Activated PI3K-delta Syndrome	True
MESH:D020016	Activated Protein C Resistance	True
MESH:C538620	Acute brachial neuritis	True
MESH:C531689	Acute cerebral Gaucher disease	True
MESH:D056586	Acute Chest Syndrome	True
MESH:C535672	Acute cholinergic dysautonomia	True
MESH:D054058	Acute Coronary Syndrome	True
MESH:D000208	Acute Disease	True
MESH:C535673	Acute erythroleukemia	True
MESH:C537957	Acute fatty liver of pregnancy	True
MESH:D056150	Acute Generalized Exanthematous Pustulosis	True
MESH:D058186	Acute Kidney Injury	True
MESH:D055371	Acute Lung Injury	True
MESH:C531736	Acute malaria	True
MESH:D065290	Acute-On-Chronic Liver Failure	True
MESH:D059787	Acute Pain	True
MESH:D000210	Acute-Phase Reaction	True
MESH:D054508	Acute Radiation Syndrome	True
MESH:C538407	Acute rheumatism	True
MESH:C564356	Acute Tubulointerstitial Nephritis	True
MESH:C538223	Acute zonal occult outer retinopathy	True
MESH:C567006	Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of	True
MESH:C562417	Adactylia, Unilateral	True
MESH:D050398	Adamantinoma	True
MESH:C562741	Adamantinoma Of Long Bones	True
MESH:C538224	Adams Nance syndrome	True
MESH:C538225	Adams Oliver syndrome	True
MESH:D000219	Adams-Stokes Syndrome	True
MESH:D000224	Addison Disease	True
MESH:C562949	Adducted Thumbs Syndrome	True
MESH:C566309	Adenine Nucleotide Translocator Deficiency	True
MESH:C538228	Adenine phosphoribosyltransferase deficiency	True
MESH:C538229	Adenoameloblastoma	True
MESH:C538230	Adenocarcinoid tumor	True
MESH:D000230	Adenocarcinoma	True
MESH:D002282	Adenocarcinoma, Bronchiolo-Alveolar	True
MESH:D018262	Adenocarcinoma, Clear Cell	True
MESH:D018263	Adenocarcinoma, Follicular	True
MESH:D065311	Adenocarcinoma in Situ	True
MESH:D002288	Adenocarcinoma, Mucinous	True
MESH:C562730	Adenocarcinoma Of Esophagus	True
MESH:C538231	Adenocarcinoma of lung	True
MESH:D000231	Adenocarcinoma, Papillary	True
MESH:D002293	Adenocarcinoma, Scirrhous	True
MESH:D018266	Adenocarcinoma, Sebaceous	True
MESH:D000232	Adenofibroma	True
MESH:D000235	Adenolymphoma	True
MESH:D000236	Adenoma	True
MESH:D000239	Adenoma, Acidophil	True
MESH:D000237	Adenoma, Basophil	True
MESH:D002759	Adenoma, Bile Duct	True
MESH:D000238	Adenoma, Chromophobe	True
MESH:D007516	Adenoma, Islet Cell	True
MESH:D018248	Adenoma, Liver Cell	True
MESH:D018249	Adenoma, Oxyphilic	True
MESH:D008949	Adenoma, Pleomorphic	True
MESH:D006607	Adenoma, Sweat Gland	True
MESH:D018254	Adenomatoid Tumor	True
MESH:D018255	Adenomatosis, Pulmonary	True
MESH:D011125	Adenomatous Polyposis Coli	True
MESH:C566778	Adenomatous Polyposis Coli, Attenuated	True
MESH:D018256	Adenomatous Polyps	True
MESH:D018253	Adenoma, Villous	True
MESH:D055331	Adenomyoepithelioma	True
MESH:D018194	Adenomyoma	True
MESH:D062788	Adenomyosis	True
MESH:D017188	Adenophorea Infections	True
MESH:D018195	Adenosarcoma	True
MESH:C538232	Adenosarcoma of the uterus	True
MESH:C566314	Adenosine Deaminase, Elevated, Hemolytic Anemia Due To	True
MESH:C538234	Adenosine monophosphate deaminase deficiency	True
MESH:C566311	Adenosine Triphosphatase Deficiency, Anemia Due To	True
MESH:C566310	Adenosine Triphosphate, Elevated, Of Erythrocytes	True
MESH:D000257	Adenoviridae Infections	True
MESH:D000258	Adenovirus Infections, Human	True
MESH:C567228	Adenylate Kinase Deficiency, Hemolytic Anemia Due To	True
MESH:C538235	Adenylosuccinate lyase deficiency	True
MESH:D000270	Adie Syndrome	True
MESH:D000274	Adiposis Dolorosa	True
MESH:D000275	Adjustment Disorders	True
MESH:D000291	Adnexal Diseases	True
MESH:D000303	Adrenal Cortex Diseases	True
MESH:D000306	Adrenal Cortex Neoplasms	True
MESH:D000307	Adrenal Gland Diseases	True
MESH:D000310	Adrenal Gland Neoplasms	True
MESH:C538236	Adrenal hyperplasia 2	True
MESH:D000312	Adrenal Hyperplasia, Congenital	True
MESH:C538237	Adrenal hyperplasia, congenital, type 5	True
MESH:C565976	Adrenal Hypoplasia, Congenital, With Absent Pituitary Luteinizing Hormone	True
MESH:C564568	Adrenal Hypoplasia, Congenital, with Precocious Puberty	True
MESH:C538238	Adrenal incidentaloma	True
MESH:D000309	Adrenal Insufficiency	True
MESH:C566130	Adrenal Insufficiency, Congenital	True
MESH:C566131	Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal	True
MESH:D000314	Adrenal Rest Tumor	True
MESH:D018246	Adrenocortical Adenoma	True
MESH:D018268	Adrenocortical Carcinoma	True
MESH:C565972	Adrenocortical Carcinoma, Hereditary	True
MESH:C565973	Adrenocortical Carcinoma, Pediatric	True
MESH:D000308	Adrenocortical Hyperfunction	True
MESH:C562711	Adrenocortical Hypofunction, Chronic Primary Congenital	True
MESH:C565971	Adrenocortical Unresponsiveness To Acth With Postreceptor Defect	True
MESH:C535668	Adrenocorticotropic hormone deficiency	True
MESH:D047808	Adrenogenital Syndrome	True
MESH:D000326	Adrenoleukodystrophy	True
MESH:C538051	Adrenomyodystrophy	True
MESH:C566214	Adult i Blood Group with Congenital Cataract	True
MESH:C538053	Adult-onset citrullinemia type 2	True
MESH:C565789	Advanced Sleep-Phase Syndrome, Familial	True
MESH:C538054	Aerobic actinomyces infection	True
MESH:D000334	Aerophagy	True
MESH:D000341	Affective Disorders, Psychotic	True
MESH:D000343	Afferent Loop Syndrome	True
MESH:D000347	Afibrinogenemia	True
MESH:C579887	African Hemochromatosis	True
MESH:D000355	African Horse Sickness	True
MESH:D000357	African Swine Fever	True
MESH:D000361	Agammaglobulinemia	True
MESH:C538055	Agammaglobulinemia, microcephaly, and severe dermatitis	True
MESH:C538056	Agammaglobulinemia, non-Bruton type	True
MESH:C563305	Agammaglobulinemia, Non-Bruton Type, Autosomal Dominant	True
MESH:C538057	Agammaglobulinemia, X-linked, type 2	True
MESH:C538058	Aganglionosis, total intestinal	True
MESH:D061085	Agenesis of Corpus Callosum	True
MESH:C567305	Age-Related Hearing Impairment 1	True
MESH:D000370	Ageusia	True
MESH:D010520	Aggressive Periodontitis	True
MESH:D019588	Aging, Premature	True
MESH:C538059	Agnathia-microstomia-synotia	True
MESH:D000377	Agnosia	True
MESH:C563429	Agonadism, XY, with Mental Retardation, Short Stature, Retarded Bone Age, and Multiple Extragenital Malformations	True
MESH:D000379	Agoraphobia	True
MESH:D000380	Agranulocytosis	True
MESH:D000381	Agraphia	True
MESH:D000382	Agricultural Workers' Diseases	True
MESH:C535607	Aicardi-Goutieres syndrome	True
MESH:C563683	Aicardi-Goutieres Syndrome 3	True
MESH:C563681	Aicardi-Goutieres Syndrome 4	True
MESH:C535608	Aicardi-Goutieres syndrome 5	True
MESH:D058540	Aicardi Syndrome	True
MESH:C563876	AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency	True
MESH:D020943	AIDS Arteritis, Central Nervous System	True
MESH:D016263	AIDS-Associated Nephropathy	True
MESH:D015526	AIDS Dementia Complex	True
MESH:D000386	AIDS-Related Complex	True
MESH:C554498	AIDS-related Kaposi sarcoma	True
MESH:D017088	AIDS-Related Opportunistic Infections	True
MESH:D000387	Ainhum	True
MESH:D000402	Airway Obstruction	True
MESH:D056151	Airway Remodeling	True
MESH:C535609	Akaba Hayasaka syndrome	True
MESH:D017109	Akathisia, Drug-Induced	True
MESH:C535610	Akesson syndrome	True
MESH:D000405	Akinetic Mutism	True
MESH:C535611	Aksu von Stockhausen syndrome	True
MESH:C562827	Alacrima	True
MESH:C566307	Alacrima, Congenital	True
MESH:D016738	Alagille Syndrome	True
MESH:C562664	Aland Island Eye Disease	True
MESH:C565968	Alaninuria with Microcephaly, Dwarfism, Enamel Hypoplasia, and Diabetes Mellitus	True
MESH:C535612	Al Awadi syndrome	True
MESH:D000417	Albinism	True
MESH:C537042	Albinism deafness syndrome	True
MESH:C537044	Albinism, minimal pigment type	True
MESH:D016117	Albinism, Ocular	True
MESH:C537043	Albinism ocular late onset sensorineural deafness	True
MESH:D016115	Albinism, Oculocutaneous	True
MESH:C564645	Albinism, Oculocutaneous, Type I, Temperature-Sensitive	True
MESH:C538539	Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells	True
MESH:C537045	Albright's hereditary osteodystrophy	True
MESH:D000419	Albuminuria	True
MESH:D000425	Alcohol Amnestic Disorder	True
MESH:C576203	Alcohol fetopathy	True
MESH:D000435	Alcoholic Intoxication	True
MESH:D020269	Alcoholic Neuropathy	True
MESH:D020751	Alcohol-Induced Disorders	True
MESH:D020268	Alcohol-Induced Disorders, Nervous System	True
MESH:C538669	Alcohol induced encephalopathy	True
MESH:D000437	Alcoholism	True
MESH:D019973	Alcohol-Related Disorders	True
MESH:D000430	Alcohol Withdrawal Delirium	True
MESH:D020270	Alcohol Withdrawal Seizures	True
MESH:C537046	Aldred syndrome	True
MESH:D000453	Aleutian Mink Disease	True
MESH:D038261	Alexander Disease	True
MESH:C531607	Alexanders leukodystrophy	True
MESH:D020237	Alexia, Pure	True
MESH:C535613	Al Gazali Aziz Salem syndrome	True
MESH:C535615	Al Gazali Hirschsprung syndrome	True
MESH:C535616	Al Gazali Khidr Prem Chandran syndrome	True
MESH:C535617	Al Gazali Sabrinathan Nair syndrome	True
MESH:C536817	Al-Gazali Syndrome	True
MESH:D062026	Alice in Wonderland Syndrome	True
MESH:D055964	Alien Hand Syndrome	True
MESH:D059707	Aliivibrio Infections	True
MESH:D000471	Alkalosis	True
MESH:D000472	Alkalosis, Respiratory	True
MESH:D000474	Alkaptonuria	True
MESH:C531762	Alkaptonuric ochronosis	True
MESH:C537047	Allan-Herndon-Dudley syndrome	True
MESH:C537048	Allanson Pantzar McLeod syndrome	True
MESH:D066190	Allesthesia	True
MESH:C537049	Aloi Tomasini Isaia syndrome	True
MESH:D000505	Alopecia	True
MESH:C567473	Alopecia, Androgenetic, 2	True
MESH:C567317	Alopecia, Androgenetic, 3	True
MESH:D000506	Alopecia Areata	True
MESH:C566303	Alopecia Areata 1	True
MESH:C565186	Alopecia Areata 2	True
MESH:C537050	Alopecia congenita keratosis palmoplantaris	True
MESH:C537051	Alopecia contractures dwarfism mental retardation	True
MESH:C537052	Alopecia epilepsy oligophrenia syndrome of Moynahan	True
MESH:C537057	Alopecia, epilepsy, pyorrhea, mental subnormality	True
MESH:C566301	Alopecia, Familial Focal	True
MESH:C537053	Alopecia hypogonadism extrapyramidal disorder	True
MESH:C565965	Alopecia-Mental Retardation Syndrome 1	True
MESH:C563668	Alopecia-Mental Retardation Syndrome 2	True
MESH:C563370	Alopecia-Mental Retardation Syndrome with Convulsions and Hypergonadotropic Hypogonadism	True
MESH:C567425	Alopecia, Neurologic Defects, and Endocrinopathy Syndrome	True
MESH:C537055	Alopecia universalis	True
MESH:C563920	Alopecia Universalis Congenita, XY Gonadal Dysgenesis, and Laryngomalacia	True
MESH:C537056	Alopecia universalis onychodystrophy vitiligo	True
MESH:D019896	alpha 1-Antitrypsin Deficiency	True
MESH:C566273	alpha-1-Antitrypsin Deficiency, Autosomal Recessive	True
MESH:C565963	Alpha-2-Deficient Collagen Disease	True
MESH:C566304	alpha-2-Macroglobulin Deficiency	True
MESH:C563848	Alpha-B Crystallinopathy	True
MESH:C563849	Alpha-B Crystallinopathy with Cataract	True
MESH:C563691	Alpha-Beta T-Cell Lymphopenia with Gamma-Delta T-Cell Expansion, Severe Cytomegalovirus Infection, and Autoimmunity	True
MESH:C566300	alpha-Fetoprotein Deficiency	True
MESH:C536582	Alpha-ketoglutarate dehydrogenase deficiency	True
MESH:D008363	alpha-Mannosidosis	True
MESH:C536584	Alpha-mannosidosis type 1	True
MESH:C536585	Alpha-mannosidosis, type 2	True
MESH:C565418	alpha-Mannosidosis, Type II	True
MESH:C565768	Alpha-Methylacyl-CoA Racemase Deficiency	True
MESH:D017085	alpha-Thalassemia	True
MESH:C563050	Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type	True
MESH:C563023	Alpha-Thalassemia Myelodysplasia Syndrome	True
MESH:D018354	Alphavirus Infections	True
MESH:C536586	Alport syndrome, dominant type	True
MESH:C562890	Alport Syndrome-Like Hereditary Nephritis	True
MESH:C564570	Alport Syndrome, Mental Retardation, Midface Hypoplasia, and Elliptocytosis	True
MESH:C536587	Alport syndrome, recessive type	True
MESH:C536588	Alsing syndrome	True
MESH:D056769	Alstrom Syndrome	True
MESH:D060487	Alternariosis	True
MESH:C536589	Alternating hemiplegia of childhood	True
MESH:D000532	Altitude Sickness	True
MESH:D016301	Alveolar Bone Loss	True
MESH:C536590	Alveolar capillary dysplasia	True
MESH:C536591	Alveolar echinococcosis	True
MESH:D000542	Alveolitis, Extrinsic Allergic	True
MESH:C536593	Alves Castelo dos Santos syndrome	True
MESH:D000544	Alzheimer Disease	True
MESH:C566465	Alzheimer Disease 10	True
MESH:C565228	Alzheimer Disease 11	True
MESH:C567022	Alzheimer Disease 12	True
MESH:C567000	Alzheimer Disease 13	True
MESH:C566999	Alzheimer Disease 14	True
MESH:C566998	Alzheimer Disease 15	True
MESH:C567463	Alzheimer Disease 16	True
MESH:C566578	Alzheimer Disease 5	True
MESH:C565325	Alzheimer Disease 6	True
MESH:C565251	Alzheimer Disease 7	True
MESH:C564622	Alzheimer Disease 8	True
MESH:C563834	Alzheimer Disease 9	True
MESH:C566299	Alzheimer Disease, Early-Onset, With Cerebral Amyloid Angiopathy	True
MESH:C566298	Alzheimer Disease, Familial, 1	True
MESH:C564330	Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia	True
MESH:C564329	Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Unusual Plaques	True
MESH:C565728	Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And Prion Pathology	True
MESH:C536598	Alzheimer disease, familial, type 3	True
MESH:C536594	Alzheimer disease type 1	True
MESH:C536595	Alzheimer disease type 2	True
MESH:C536596	Alzheimer disease type 4	True
MESH:C536599	Alzheimer's disease without Neurofibrillary tangles	True
MESH:C562989	Amastia	True
MESH:C566295	Amastia, Bilateral, With Ureteral Triplication And Dysmorphism	True
MESH:C536600	Amaurosis congenita of Leber, type 1	True
MESH:C536601	Amaurosis congenita of Leber, type 2	True
MESH:C536602	Amaurosis congenita of Leber, type 5	True
MESH:C536603	Amaurosis congenita of Leber, type 9	True
MESH:D020757	Amaurosis Fugax	True
MESH:C536604	Amaurosis hypertrichosis	True
MESH:D000550	Amblyopia	True
MESH:C536605	Ambras syndrome	True
MESH:D000562	Amebiasis	True
MESH:C566294	Amelia and Terminal Transverse Hemimelia	True
MESH:C563338	Amelia, Autosomal Recessive	True
MESH:D000564	Ameloblastoma	True
MESH:D000567	Amelogenesis Imperfecta	True
MESH:C536606	Amelogenesis Imperfecta hypomaturation type	True
MESH:C567146	Amelogenesis Imperfecta, Hypomaturation Type, Iia1	True
MESH:C567279	Amelogenesis Imperfecta, Hypomaturation Type, Iia2	True
MESH:C567706	Amelogenesis Imperfecta, Hypomaturation Type, Iia3	True
MESH:C564463	Amelogenesis Imperfecta, Hypomaturation Type, with Snow-Capped Teeth	True
MESH:C538243	Amelogenesis imperfecta, hypoplastic-hypomaturation, X-linked 1	True
MESH:C538240	Amelogenesis imperfecta local hypoplastic form	True
MESH:C538241	Amelogenesis imperfecta nephrocalcinosis	True
MESH:C538242	Amelogenesis imperfecta pigmented hypomaturation type	True
MESH:C562879	Amelogenesis Imperfecta, Type IB	True
MESH:C567147	Amelogenesis Imperfecta, Type Ic	True
MESH:C562880	Amelogenesis Imperfecta, Type III	True
MESH:C566293	Amelogenesis Imperfecta, Type IV	True
MESH:C538245	Ameloonychohypohidrotic syndrome	True
MESH:D000568	Amenorrhea	True
MESH:D000592	Amino Acid Metabolism, Inborn Errors	True
MESH:D020157	Amino Acid Transport Disorders, Inborn	True
MESH:C565960	Amino Aciduria with Mental Deficiency, Dwarfism, Muscular Dystrophy, Osteoporosis, and Acidosis	True
MESH:C538246	Aminoacylase 1 deficiency	True
MESH:C563799	Amish Infantile Epilepsy Syndrome	True
MESH:C538247	Amish lethal microcephaly	True
MESH:D000647	Amnesia	True
MESH:D020324	Amnesia, Anterograde	True
MESH:D000648	Amnesia, Retrograde	True
MESH:D020236	Amnesia, Transient Global	True
MESH:C531614	Amniotic Band Sequence	True
MESH:D000652	Amniotic Band Syndrome	True
MESH:C565959	Amobarbital, Deficient N-Hydroxylation of	True
MESH:C531613	Amoebiasis due to Entamoeba histolytica	True
MESH:C539067	Amoebic dysentery due to Entamoeba histolytica	True
MESH:D019969	Amphetamine-Related Disorders	True
MESH:C565682	Amputation, Congenital	True
MESH:D000673	Amputation, Traumatic	True
MESH:C538248	Amyloid angiopathy	True
MESH:D017772	Amyloid Neuropathies	True
MESH:D028227	Amyloid Neuropathies, Familial	True
