DrugBank ID	Name	isCommon
DB00109	Enfuvirtide	True
DB00110	Palivizumab	True
DB00111	Daclizumab	True
DB00112	Bevacizumab	True
DB00113	Technetium Tc-99m arcitumomab	True
DB00114	Pyridoxal phosphate	True
DB00115	Cyanocobalamin	True
DB00116	Tetrahydrofolic acid	True
DB00117	Histidine	True
DB00118	Ademetionine	True
DB00119	Pyruvic acid	True
DB00120	Phenylalanine	True
DB00121	Biotin	True
DB00122	Choline	True
DB00123	Lysine	True
DB00125	Arginine	True
DB00126	Ascorbic acid	True
DB00127	Spermine	True
DB00128	Aspartic acid	True
DB00129	Ornithine	True
DB00130	L-Glutamine	True
DB00131	Adenosine phosphate	True
DB00132	alpha-Linolenic acid	True
DB00133	Serine	True
DB00134	Methionine	True
DB00135	Tyrosine	True
DB00136	Calcitriol	True
DB00137	Lutein	True
DB00138	Cystine	True
DB00139	Succinic acid	True
DB00140	Riboflavin	True
DB00141	N-Acetylglucosamine	True
DB00142	Glutamic acid	True
DB00143	Glutathione	True
DB00144	Phosphatidyl serine	True
DB00145	Glycine	True
DB00146	Calcifediol	True
DB00147	Pyridoxal	True
DB00148	Creatine	True
DB00149	Leucine	True
DB00150	Tryptophan	True
DB00151	Cysteine	True
DB00152	Thiamine	True
DB00153	Ergocalciferol	True
DB00154	Dihomo-gamma-linolenic acid	True
DB00155	Citrulline	True
DB00156	Threonine	True
DB00157	NADH	True
DB00158	Folic acid	True
DB00159	Icosapent	True
DB00160	Alanine	True
DB00161	Valine	True
DB00162	Vitamin A	True
DB00163	Vitamin E	True
DB00165	Pyridoxine	True
DB00166	Lipoic acid	True
DB00167	Isoleucine	True
DB00168	Aspartame	True
DB00169	Cholecalciferol	True
DB00170	Menadione	True
DB00171	ATP	True
DB00172	Proline	True
DB00173	Adenine	True
DB00174	Asparagine	True
DB00175	Pravastatin	True
DB00176	Fluvoxamine	True
DB00177	Valsartan	True
DB00178	Ramipril	True
DB00179	Masoprocol	True
DB00180	Flunisolide	True
DB00181	Baclofen	True
DB00182	Amphetamine	True
DB00183	Pentagastrin	True
DB00184	Nicotine	True
DB00185	Cevimeline	True
DB00186	Lorazepam	True
DB00187	Esmolol	True
DB00188	Bortezomib	True
DB00189	Ethchlorvynol	True
DB00190	Carbidopa	True
DB00191	Phentermine	True
DB00192	Indecainide	True
DB00193	Tramadol	True
DB00194	Vidarabine	True
DB00195	Betaxolol	True
DB00196	Fluconazole	True
DB00197	Troglitazone	True
DB00198	Oseltamivir	True
DB00199	Erythromycin	True
DB00200	Hydroxocobalamin	True
DB00201	Caffeine	True
DB00202	Succinylcholine	True
DB00203	Sildenafil	True
DB00204	Dofetilide	True
DB00205	Pyrimethamine	True
DB00206	Reserpine	True
DB00207	Azithromycin	True
DB00208	Ticlopidine	True
DB00209	Trospium	True
DB00210	Adapalene	True
DB00211	Midodrine	True
DB00212	Remikiren	True
DB00213	Pantoprazole	True
DB00214	Torasemide	True
DB00215	Citalopram	True
DB00216	Eletriptan	True
DB00217	Bethanidine	True
DB00218	Moxifloxacin	True
DB00219	Oxyphenonium	True
DB00220	Nelfinavir	True
DB00221	Isoetharine	True
DB00222	Glimepiride	True
DB00223	Diflorasone	True
DB00224	Indinavir	True
DB00225	Gadodiamide	True
DB00226	Guanadrel	True
DB00227	Lovastatin	True
DB00228	Enflurane	True
DB00229	Cefotiam	True
DB00230	Pregabalin	True
DB00231	Temazepam	True
DB00232	Methyclothiazide	True
DB00233	Aminosalicylic acid	True
DB00234	Reboxetine	True
DB00235	Milrinone	True
DB00236	Pipobroman	True
DB00237	Butabarbital	True
DB00238	Nevirapine	True
DB00239	Oxiconazole	True
DB00240	Alclometasone	True
DB00241	Butalbital	True
DB00242	Cladribine	True
DB00243	Ranolazine	True
DB00244	Mesalazine	True
DB00245	Benzatropine	True
DB00246	Ziprasidone	True
DB00247	Methysergide	True
DB00248	Cabergoline	True
DB00249	Idoxuridine	True
DB00250	Dapsone	True
DB00251	Terconazole	True
DB00252	Phenytoin	True
DB00253	Medrysone	True
DB00254	Doxycycline	True
DB00255	Diethylstilbestrol	True
DB00256	Lymecycline	True
DB00257	Clotrimazole	True
DB00258	Calcium acetate	True
DB00259	Sulfanilamide	True
DB00260	Cycloserine	True
DB00261	Anagrelide	True
DB00262	Carmustine	True
DB00263	Sulfisoxazole	True
DB00264	Metoprolol	True
DB00265	Crotamiton	True
DB00266	Dicoumarol	True
DB00267	Cefmenoxime	True
DB00268	Ropinirole	True
DB00269	Chlorotrianisene	True
DB00270	Isradipine	True
DB00271	Diatrizoate	True
DB00272	Betazole	True
DB00273	Topiramate	True
DB00274	Cefmetazole	True
DB00275	Olmesartan	True
DB00276	Amsacrine	True
DB00277	Theophylline	True
DB00278	Argatroban	True
DB00279	Liothyronine	True
DB00280	Disopyramide	True
DB00281	Lidocaine	True
DB00282	Pamidronic acid	True
DB00283	Clemastine	True
DB00284	Acarbose	True
DB00285	Venlafaxine	True
DB00286	Conjugated estrogens	True
DB00287	Travoprost	True
DB00288	Amcinonide	True
DB00289	Atomoxetine	True
DB00290	Bleomycin	True
DB00291	Chlorambucil	True
DB00292	Etomidate	True
DB00293	Raltitrexed	True
DB00294	Etonogestrel	True
DB00295	Morphine	True
DB00296	Ropivacaine	True
DB00297	Bupivacaine	True
DB00298	Dapiprazole	True
DB00299	Penciclovir	True
DB00300	Tenofovir disoproxil	True
DB00301	Flucloxacillin	True
DB00302	Tranexamic acid	True
DB00303	Ertapenem	True
DB00304	Desogestrel	True
DB00305	Mitomycin	True
DB00306	Talbutal	True
DB00307	Bexarotene	True
DB00308	Ibutilide	True
DB00309	Vindesine	True
DB00310	Chlorthalidone	True
DB00311	Ethoxzolamide	True
DB00312	Pentobarbital	True
DB00313	Valproic acid	True
DB00314	Capreomycin	True
DB00315	Zolmitriptan	True
DB00316	Acetaminophen	True
DB00317	Gefitinib	True
DB00318	Codeine	True
DB00319	Piperacillin	True
DB00320	Dihydroergotamine	True
DB00321	Amitriptyline	True
DB00322	Floxuridine	True
DB00323	Tolcapone	True
DB00324	Fluorometholone	True
DB00325	Nitroprusside	True
DB00326	Calcium glucoheptonate	True
DB00327	Hydromorphone	True
DB00328	Indomethacin	True
DB00330	Ethambutol	True
DB00331	Metformin	True
DB00332	Ipratropium	True
DB00333	Methadone	True
DB00334	Olanzapine	True
DB00335	Atenolol	True
DB00336	Nitrofural	True
DB00337	Pimecrolimus	True
DB00338	Omeprazole	True
DB00339	Pyrazinamide	True
DB00340	Metixene	True
DB00341	Cetirizine	True
DB00342	Terfenadine	True
DB00343	Diltiazem	True
DB00344	Protriptyline	True
DB00345	Aminohippuric acid	True
DB00346	Alfuzosin	True
DB00347	Trimethadione	True
DB00348	Nitisinone	True
DB00349	Clobazam	True
DB00350	Minoxidil	True
DB00351	Megestrol acetate	True
DB00352	Tioguanine	True
DB00353	Methylergometrine	True
DB00354	Buclizine	True
DB00355	Aztreonam	True
DB00356	Chlorzoxazone	True
DB00357	Aminoglutethimide	True
DB00358	Mefloquine	True
DB00359	Sulfadiazine	True
DB00360	Sapropterin	True
DB00361	Vinorelbine	True
DB00362	Anidulafungin	True
DB00363	Clozapine	True
DB00364	Sucralfate	True
DB00365	Grepafloxacin	True
DB00366	Doxylamine	True
DB00367	Levonorgestrel	True
DB00368	Norepinephrine	True
DB00369	Cidofovir	True
DB00370	Mirtazapine	True
DB00371	Meprobamate	True
DB00372	Thiethylperazine	True
DB00373	Timolol	True
DB00374	Treprostinil	True
DB00375	Colestipol	True
DB00376	Trihexyphenidyl	True
DB00377	Palonosetron	True
DB00378	Dydrogesterone	True
DB00379	Mexiletine	True
DB00380	Dexrazoxane	True
DB00381	Amlodipine	True
DB00382	Tacrine	True
DB00383	Oxyphencyclimine	True
DB00384	Triamterene	True
DB00385	Valrubicin	True
DB00387	Procyclidine	True
DB00388	Phenylephrine	True
DB00389	Carbimazole	True
DB00390	Digoxin	True
DB00391	Sulpiride	True
DB00392	Profenamine	True
DB00393	Nimodipine	True
DB00394	Beclomethasone dipropionate	True
DB00395	Carisoprodol	True
DB00396	Progesterone	True
DB00397	Phenylpropanolamine	True
DB00398	Sorafenib	True
DB00399	Zoledronic acid	True
DB00400	Griseofulvin	True
DB00401	Nisoldipine	True
DB00402	Eszopiclone	True
DB00403	Ceruletide	True
DB00404	Alprazolam	True
DB00405	Dexbrompheniramine	True
DB00406	Gentian violet cation	True
DB00407	Ardeparin	True
DB00408	Loxapine	True
DB00409	Remoxipride	True
DB00410	Mupirocin	True
DB00411	Carbamoylcholine	True
DB00412	Rosiglitazone	True
DB00413	Pramipexole	True
DB00414	Acetohexamide	True
DB00415	Ampicillin	True
DB00416	Metocurine iodide	True
DB00417	Phenoxymethylpenicillin	True
DB00418	Secobarbital	True
DB00419	Miglustat	True
DB00420	Promazine	True
DB00421	Spironolactone	True
DB00422	Methylphenidate	True
DB00423	Methocarbamol	True
DB00424	Hyoscyamine	True
DB00425	Zolpidem	True
DB00426	Famciclovir	True
DB00427	Triprolidine	True
DB00428	Streptozocin	True
DB00429	Carboprost tromethamine	True
DB00430	Cefpiramide	True
DB00431	Lindane	True
DB00432	Trifluridine	True
DB00433	Prochlorperazine	True
DB00434	Cyproheptadine	True
DB00435	Nitric Oxide	True
DB00436	Bendroflumethiazide	True
DB00437	Allopurinol	True
DB00438	Ceftazidime	True
DB00439	Cerivastatin	True
DB00440	Trimethoprim	True
DB00441	Gemcitabine	True
DB00442	Entecavir	True
DB00443	Betamethasone	True
DB00444	Teniposide	True
DB00445	Epirubicin	True
DB00446	Chloramphenicol	True
DB00447	Loracarbef	True
DB00448	Lansoprazole	True
DB00449	Dipivefrin	True
DB00450	Droperidol	True
DB00451	Levothyroxine	True
DB00452	Framycetin	True
DB00453	Clomocycline	True
DB00454	Meperidine	True
DB00455	Loratadine	True
DB00456	Cefalotin	True
DB00457	Prazosin	True
DB00458	Imipramine	True
DB00459	Acitretin	True
DB00460	Verteporfin	True
DB00461	Nabumetone	True
DB00462	Methscopolamine bromide	True
DB00463	Metharbital	True
DB00464	Sodium tetradecyl sulfate	True
DB00465	Ketorolac	True
DB00466	Picrotoxin	True
DB00467	Enoxacin	True
DB00468	Quinine	True
DB00469	Tenoxicam	True
DB00470	Dronabinol	True
DB00471	Montelukast	True
DB00472	Fluoxetine	True
DB00473	Hexylcaine	True
DB00474	Methohexital	True
DB00475	Chlordiazepoxide	True
DB00476	Duloxetine	True
DB00477	Chlorpromazine	True
DB00478	Rimantadine	True
DB00479	Amikacin	True
DB00480	Lenalidomide	True
DB00481	Raloxifene	True
DB00482	Celecoxib	True
DB00483	Gallamine triethiodide	True
DB00484	Brimonidine	True
DB00485	Dicloxacillin	True
DB00486	Nabilone	True
DB00487	Pefloxacin	True
DB00488	Altretamine	True
DB00489	Sotalol	True
DB00490	Buspirone	True
DB00491	Miglitol	True
DB00492	Fosinopril	True
DB00493	Cefotaxime	True
DB00494	Entacapone	True
DB00495	Zidovudine	True
DB00496	Darifenacin	True
DB00497	Oxycodone	True
DB00498	Phenindione	True
DB00499	Flutamide	True
DB00500	Tolmetin	True
DB00501	Cimetidine	True
DB00502	Haloperidol	True
DB00503	Ritonavir	True
DB00504	Levallorphan	True
DB00505	Tridihexethyl	True
DB00507	Nitazoxanide	True
DB00508	Triflupromazine	True
DB00509	Dextrothyroxine	True
DB00511	Acetyldigitoxin	True
DB00512	Vancomycin	True
DB00513	Aminocaproic acid	True
DB00514	Dextromethorphan	True
DB00515	Cisplatin	True
DB00516	Bentoquatam	True
DB00517	Anisotropine methylbromide	True
DB00518	Albendazole	True
DB00519	Trandolapril	True
DB00520	Caspofungin	True
DB00521	Carteolol	True
DB00522	Bentiromide	True
DB00523	Alitretinoin	True
DB00524	Metolazone	True
DB00525	Tolnaftate	True
DB00526	Oxaliplatin	True
DB00527	Cinchocaine	True
DB00528	Lercanidipine	True
DB00529	Foscarnet	True
DB00530	Erlotinib	True
DB00531	Cyclophosphamide	True
DB00532	Mephenytoin	True
DB00533	Rofecoxib	True
DB00534	Chlormerodrin	True
DB00535	Cefdinir	True
DB00536	Guanidine	True
DB00537	Ciprofloxacin	True
DB00538	Gadoversetamide	True
DB00539	Toremifene	True
DB00540	Nortriptyline	True
DB00541	Vincristine	True
DB00542	Benazepril	True
DB00543	Amoxapine	True
DB00544	Fluorouracil	True
DB00545	Pyridostigmine	True
DB00546	Adinazolam	True
DB00547	Desoximetasone	True
DB00548	Azelaic acid	True
DB00549	Zafirlukast	True
DB00550	Propylthiouracil	True
DB00551	Acetohydroxamic acid	True
DB00552	Pentostatin	True
DB00553	Methoxsalen	True
DB00554	Piroxicam	True
DB00555	Lamotrigine	True
DB00556	Perflutren	True
DB00557	Hydroxyzine	True
DB00558	Zanamivir	True
DB00559	Bosentan	True
DB00560	Tigecycline	True
DB00561	Doxapram	True
DB00562	Benzthiazide	True
DB00563	Methotrexate	True
DB00564	Carbamazepine	True
DB00565	Cisatracurium	True
DB00566	Succimer	True
DB00567	Cephalexin	True
DB00568	Cinnarizine	True
DB00569	Fondaparinux	True
DB00570	Vinblastine	True
DB00571	Propranolol	True
DB00572	Atropine	True
DB00573	Fenoprofen	True
DB00574	Fenfluramine	True
DB00575	Clonidine	True
DB00576	Sulfamethizole	True
DB00577	Valaciclovir	True
DB00578	Carbenicillin	True
DB00579	Mazindol	True
DB00580	Valdecoxib	True
DB00581	Lactulose	True
DB00582	Voriconazole	True
DB00583	Levocarnitine	True
DB00584	Enalapril	True
DB00585	Nizatidine	True
DB00586	Diclofenac	True
DB00587	Cinalukast	True
DB00588	Fluticasone propionate	True
DB00589	Lisuride	True
DB00590	Doxazosin	True
DB00591	Fluocinolone acetonide	True
DB00592	Piperazine	True
DB00593	Ethosuximide	True
DB00594	Amiloride	True
DB00595	Oxytetracycline	True
DB00596	Ulobetasol	True
DB00597	Gadoteridol	True
DB00598	Labetalol	True
DB00599	Thiopental	True
DB00600	Monobenzone	True
DB00601	Linezolid	True
DB00602	Ivermectin	True
DB00603	Medroxyprogesterone acetate	True
DB00604	Cisapride	True
DB00605	Sulindac	True
DB00606	Cyclothiazide	True
DB00607	Nafcillin	True
DB00608	Chloroquine	True
DB00609	Ethionamide	True
DB00610	Metaraminol	True
DB00611	Butorphanol	True
DB00612	Bisoprolol	True
DB00613	Amodiaquine	True
DB00614	Furazolidone	True
DB00615	Rifabutin	True
DB00616	Candoxatril	True
DB00617	Paramethadione	True
DB00618	Demeclocycline	True
DB00619	Imatinib	True
DB00620	Triamcinolone	True
DB00621	Oxandrolone	True
DB00622	Nicardipine	True
DB00623	Fluphenazine	True
DB00624	Testosterone	True
DB00625	Efavirenz	True
DB00626	Bacitracin	True
DB00627	Niacin	True
DB00628	Clorazepic acid	True
DB00629	Guanabenz	True
DB00630	Alendronic acid	True
DB00631	Clofarabine	True
DB00632	Docosanol	True
DB00633	Dexmedetomidine	True
DB00634	Sulfacetamide	True
DB00635	Prednisone	True
DB00636	Clofibrate	True
DB00637	Astemizole	True
DB00638	Inulin	True
DB00639	Butoconazole	True
DB00640	Adenosine	True
DB00641	Simvastatin	True
DB00642	Pemetrexed	True
DB00643	Mebendazole	True
DB00644	Gonadorelin	True
DB00645	Dyclonine	True
DB00646	Nystatin	True
DB00647	Dextropropoxyphene	True
DB00648	Mitotane	True
DB00649	Stavudine	True
DB00650	Leucovorin	True
DB00651	Dyphylline	True
DB00652	Pentazocine	True
DB00653	Magnesium sulfate	True
DB00654	Latanoprost	True
DB00655	Estrone	True
DB00656	Trazodone	True
DB00657	Mecamylamine	True
DB00658	Sevelamer	True
DB00659	Acamprosate	True
DB00660	Metaxalone	True
DB00661	Verapamil	True
DB00662	Trimethobenzamide	True
DB00663	Flumethasone	True
DB00664	Sulfametopyrazine	True
DB00665	Nilutamide	True
DB00666	Nafarelin	True
DB00668	Epinephrine	True
DB00669	Sumatriptan	True
DB00670	Pirenzepine	True
DB00671	Cefixime	True
DB00672	Chlorpropamide	True
DB00673	Aprepitant	True
DB00674	Galantamine	True
DB00675	Tamoxifen	True
DB00676	Benzyl benzoate	True
DB00677	Isoflurophate	True
DB00678	Losartan	True
DB00679	Thioridazine	True
DB00680	Moricizine	True
DB00681	Amphotericin B	True
DB00682	Warfarin	True
DB00683	Midazolam	True
DB00684	Tobramycin	True
DB00685	Trovafloxacin	True
DB00686	Pentosan polysulfate	True
DB00687	Fludrocortisone	True
DB00688	Mycophenolate mofetil	True
DB00689	Cephaloglycin	True
DB00690	Flurazepam	True
DB00691	Moexipril	True
DB00692	Phentolamine	True
DB00693	Fluorescein	True
DB00694	Daunorubicin	True
DB00695	Furosemide	True
DB00696	Ergotamine	True
DB00697	Tizanidine	True
DB00698	Nitrofurantoin	True
DB00699	Nicergoline	True
DB00700	Eplerenone	True
DB00701	Amprenavir	True
DB00702	Icodextrin	True
DB00703	Methazolamide	True
DB00704	Naltrexone	True
DB00705	Delavirdine	True
DB00706	Tamsulosin	True
DB00707	Porfimer sodium	True
DB00708	Sufentanil	True
DB00709	Lamivudine	True
DB00710	Ibandronate	True
DB00711	Diethylcarbamazine	True
DB00712	Flurbiprofen	True
DB00713	Oxacillin	True
DB00714	Apomorphine	True
DB00715	Paroxetine	True
DB00716	Nedocromil	True
DB00717	Norethisterone	True
DB00718	Adefovir dipivoxil	True
DB00719	Azatadine	True
DB00720	Clodronic acid	True
DB00721	Procaine	True
DB00722	Lisinopril	True
DB00723	Methoxamine	True
DB00724	Imiquimod	True
DB00725	Homatropine methylbromide	True
DB00726	Trimipramine	True
DB00727	Nitroglycerin	True
DB00728	Rocuronium	True
DB00730	Thiabendazole	True
DB00731	Nateglinide	True
DB00732	Atracurium besylate	True
DB00733	Pralidoxime	True
DB00734	Risperidone	True
DB00735	Naftifine	True
DB00736	Esomeprazole	True
DB00737	Meclizine	True
DB00738	Pentamidine	True
DB00739	Hetacillin	True
DB00740	Riluzole	True
DB00741	Hydrocortisone	True
DB00742	Mannitol	True
DB00743	Gadobenic acid	True
DB00744	Zileuton	True
DB00745	Modafinil	True
DB00746	Deferoxamine	True
DB00747	Scopolamine	True
DB00748	Carbinoxamine	True
DB00749	Etodolac	True
DB00750	Prilocaine	True
DB00751	Epinastine	True
DB00752	Tranylcypromine	True
DB00753	Isoflurane	True
DB00754	Ethotoin	True
DB00755	Tretinoin	True
DB00756	Hexachlorophene	True
DB00757	Dolasetron	True
DB00758	Clopidogrel	True
DB00759	Tetracycline	True
DB00760	Meropenem	True
DB00761	Potassium chloride	True
DB00762	Irinotecan	True
DB00763	Methimazole	True
DB00764	Mometasone	True
DB00765	Metyrosine	True
DB00766	Clavulanic acid	True
DB00767	Benzquinamide	True
DB00768	Olopatadine	True
DB00769	Hydrocortamate	True
DB00770	Alprostadil	True
DB00771	Clidinium	True
DB00772	Malathion	True
DB00773	Etoposide	True
DB00774	Hydroflumethiazide	True
DB00775	Tirofiban	True
DB00776	Oxcarbazepine	True
DB00777	Propiomazine	True
DB00778	Roxithromycin	True
DB00779	Nalidixic acid	True
DB00780	Phenelzine	True
DB00782	Propantheline	True
DB00783	Estradiol	True
DB00784	Mefenamic acid	True
DB00785	Cryptenamine	True
DB00786	Marimastat	True
DB00787	Acyclovir	True
DB00788	Naproxen	True
DB00789	Gadopentetic acid	True
DB00790	Perindopril	True
DB00791	Uracil mustard	True
DB00792	Tripelennamine	True
DB00793	Haloprogin	True
DB00794	Primidone	True
DB00795	Sulfasalazine	True
DB00796	Candesartan cilexetil	True
DB00797	Tolazoline	True
DB00798	Gentamicin	True
DB00799	Tazarotene	True
DB00800	Fenoldopam	True
DB00801	Halazepam	True
DB00802	Alfentanil	True
DB00803	Colistin	True
DB00804	Dicyclomine	True
DB00805	Minaprine	True
DB00806	Pentoxifylline	True
DB00807	Proparacaine	True
DB00808	Indapamide	True
DB00809	Tropicamide	True
DB00810	Biperiden	True
DB00811	Ribavirin	True
DB00812	Phenylbutazone	True
DB00813	Fentanyl	True
DB00814	Meloxicam	True
DB00815	Sodium lauryl sulfate	True
DB00816	Orciprenaline	True
DB00817	Rosoxacin	True
DB00818	Propofol	True
DB00819	Acetazolamide	True
DB00820	Tadalafil	True
DB00821	Carprofen	True
DB00822	Disulfiram	True
DB00823	Ethynodiol diacetate	True
DB00824	Enprofylline	True
DB00825	Levomenthol	True
DB00826	Natamycin	True
DB00827	Cinoxacin	True
DB00828	Fosfomycin	True
DB00829	Diazepam	True
DB00830	Phenmetrazine	True
DB00831	Trifluoperazine	True
DB00832	Phensuximide	True
DB00833	Cefaclor	True
DB00834	Mifepristone	True
DB00835	Brompheniramine	True
DB00836	Loperamide	True
DB00837	Progabide	True
DB00838	Clocortolone	True
DB00839	Tolazamide	True
DB00840	Hydroxypropyl cellulose	True
DB00841	Dobutamine	True
DB00842	Oxazepam	True
DB00843	Donepezil	True
DB00844	Nalbuphine	True
DB00845	Clofazimine	True
DB00846	Flurandrenolide	True
DB00847	Cysteamine	True
DB00848	Levamisole	True
DB00849	Methylphenobarbital	True
DB00850	Perphenazine	True
DB00851	Dacarbazine	True
DB00852	Pseudoephedrine	True
DB00853	Temozolomide	True
DB00854	Levorphanol	True
DB00855	Aminolevulinic acid	True
DB00856	Chlorphenesin	True
DB00857	Terbinafine	True
DB00858	Drostanolone	True
DB00859	Penicillamine	True
DB00860	Prednisolone	True
DB00861	Diflunisal	True
DB00862	Vardenafil	True
DB00863	Ranitidine	True
DB00864	Tacrolimus	True
DB00865	Benzphetamine	True
DB00866	Alprenolol	True
DB00867	Ritodrine	True
DB00868	Benzonatate	True
DB00869	Dorzolamide	True
DB00870	Suprofen	True
DB00871	Terbutaline	True
DB00872	Conivaptan	True
DB14596	Loteprednol etabonate	True
DB00874	Guaifenesin	True
DB00875	Flupentixol	True
DB00876	Eprosartan	True
DB00877	Sirolimus	True
DB00878	Chlorhexidine	True
DB00879	Emtricitabine	True
DB00880	Chlorothiazide	True
DB00881	Quinapril	True
DB00882	Clomifene	True
DB00883	Isosorbide dinitrate	True
DB00884	Risedronic acid	True
DB00885	Pemirolast	True
DB00886	Omapatrilat	True
DB00887	Bumetanide	True
DB00888	Mechlorethamine	True
DB00889	Granisetron	True
DB00890	Dienestrol	True
DB00891	Sulfapyridine	True
DB00892	Oxybuprocaine	True
DB00893	Iron Dextran	True
DB00894	Testolactone	True
DB00895	Benzylpenicilloyl polylysine	True
DB00896	Rimexolone	True
DB00897	Triazolam	True
DB00898	Ethanol	True
DB00899	Remifentanil	True
DB00900	Didanosine	True
DB00901	Bitolterol	True
DB00902	Methdilazine	True
DB00903	Etacrynic acid	True
DB00904	Ondansetron	True
DB00905	Bimatoprost	True
DB00906	Tiagabine	True
DB00907	Cocaine	True
DB00908	Quinidine	True
DB00909	Zonisamide	True
DB00910	Paricalcitol	True
DB00911	Tinidazole	True
DB00912	Repaglinide	True
DB00913	Anileridine	True
DB00914	Phenformin	True
DB00915	Amantadine	True
DB00916	Metronidazole	True
DB00917	Dinoprostone	True
DB00918	Almotriptan	True
DB00919	Spectinomycin	True
DB00920	Ketotifen	True
DB00921	Buprenorphine	True
DB00922	Levosimendan	True
DB00923	Ceforanide	True
DB00924	Cyclobenzaprine	True
DB00925	Phenoxybenzamine	True
DB00926	Etretinate	True
DB00927	Famotidine	True
DB00928	Azacitidine	True
DB00929	Misoprostol	True
DB00930	Colesevelam	True
DB00931	Metacycline	True
DB00932	Tipranavir	True
DB00933	Mesoridazine	True
DB00934	Maprotiline	True
DB00935	Oxymetazoline	True
DB00936	Salicylic acid	True
DB00937	Diethylpropion	True
DB00938	Salmeterol	True
DB00939	Meclofenamic acid	True
DB00940	Methantheline	True
DB00941	Hexafluronium	True
DB00942	Cycrimine	True
DB00943	Zalcitabine	True
DB00944	Demecarium	True
DB00945	Acetylsalicylic acid	True
DB00946	Phenprocoumon	True
DB00947	Fulvestrant	True
DB00948	Mezlocillin	True
DB00949	Felbamate	True
DB00950	Fexofenadine	True
DB00951	Isoniazid	True
DB00952	Naratriptan	True
DB00953	Rizatriptan	True
DB00954	Dirithromycin	True
DB00955	Netilmicin	True
DB00956	Hydrocodone	True
DB00957	Norgestimate	True
DB00958	Carboplatin	True
DB00959	Methylprednisolone	True
DB00960	Pindolol	True
DB00961	Mepivacaine	True
DB00962	Zaleplon	True
DB00963	Bromfenac	True
DB00964	Apraclonidine	True
DB00965	Ethiodized oil	True
DB00966	Telmisartan	True
DB00967	Desloratadine	True
DB00968	Methyldopa	True
DB00969	Alosetron	True
DB00970	Dactinomycin	True
DB00971	Selenium Sulfide	True
